Image,Question,Correct answer,Wrong answer,Wrong answer,Wrong answer,No,ID
,"A baby boy with malformations and signs of developmental delay is diagnosed with Wolf-Hirschhorn syndrome. He has the karyotype 46,XY,del(4)(p16;pter). Which of the following most accurately describes his condition and the mechanisms behind it?","He has a deletion at the short arm of one of the two chromosome 4, leading to haploinsufficiency for genes in the deleted region.","He has a deletion at the short arm of both of the two chromosome 4, leading to total loss of genes in the deleted region.","He has a balanced translocation at chromosome 4, with a breakpoint at 4p16.3 which disrupts a gene.",He has a duplication of the short arm of chromosome 4 leading to overexpression of genes on 4p16.3.,1,Cyto-1217-1-Post
,"Beckwith-Wiedemann syndrome, a cancer-predisposing syndrome, shows autosomal dominant inheritance with reduced penetrance. Only patients who inherit the mutation from their mother will develop the phenotype. What concept explains this?",Imprinting of the paternal allele of the disease gene,Imprinting of the maternal allele of the disease gene,Locus heterogeneity,Allele heterogeneity,2,Cyto-1217-2-Post
,Which of the following syndromes is not caused by aneuploidy?,Williams syndrome,Down syndrome,Turner syndrome,Patau syndrome,3,Cyto-1217-3-Post
https://labsterim.s3.amazonaws.com/media/uploads/adaptive%20cytogenetics/pedigree_4.jpg,What is the most likely mode of inheritance of the disease found in the family depicted in the figure?,"X-linked recessive, but autosomal recessive can not be ruled out","Autosomal recessive, but X-linked recessive can not be ruled out",Autosomal dominant,X-linked dominant,4,Cyto-1217-4-Post
,"Retinitis pigmentosa is inherited in some families as an autosomal dominant disorder, and in others as a X-linked recessive. What concept describes this?",Locus heterogeneity,Allele heterogeneity,Variable expressivity,Pleiotrophy,5,Cyto-1217-5-Post
https://labsterim.s3.amazonaws.com/media/uploads/adaptice%20cytogenetics/pedigree_6.jpg,"The figure shows a pedigree from a family, in which 5 members suffer from a neurological disorder. The onset of disease symptoms vary from 12 years (in IV.2) to 67 years (in II.2). IV.1 is 2 years old, and his father is 46. What is the risk that IV.1 will develop the disease?","As the disease has late onset the father (III.3), although 46 years old, still is at risk of having inherited and developing the disease (risk <50%), and his son, IV.1, have half of that risk (<25%)","The child IV.1 has a 50% risk of having inherited the disease, as it is inherited in an autosomal dominant mode","The child has no risk of having inherited the disease as the father, III.3, is healthy",As the disease has late onset and autosomal dominant mode of inheritance the risk of the child is exactly 25%,6,Cyto-1217-6-Post
,"If an autosomal recessive inherited disorder has a frequency of 1/10.000 in the population, then what is the risk for a child to have inherited the disorder if its mother has the disease and its farther is from that population?",The risk is 1%,The risk is 2%,The risk is 1/10000,The risk is 50%,7,Cyto-1217-7-Post
,"A healthy woman has one normal child, but has experienced several miscarriages. Her karyotype is 46,XX,t(2;15)(q37;q22). In plain words, what does this mean?","She has a translocation between chromosome 2 and 15, with breakpoints in 2q37 and 15q22. It is likely that it is balanced as she has no symptoms, but the miscarriages reveal that there is a risk of unbalanced translocations in her children.","She has a translocation between chromosome 2 and 15, with breakpoints in 2q22 and 15q37. It is likely that it is balanced as she has no symptoms, but the miscarriages reveal that there is a risk of unbalanced translocations in her children.","She has a translocation between chromosome 2 and 15, with breakpoints in 2q37 and 15q22. Since she has a normal child the translocation is not inherited.","She has an unbalanced translocation between chromosome 2 and 15, with breakpoints in 2q22 and 15p37. She has many miscarriages revealing that the translocations is inherited to her children.",8,Cyto-1217-8-Post
https://labsterim.s3.amazonaws.com/media/uploads/adaptive%20cytogenetics/pedigree_2.jpg,What is to most likely mode of inheritance of the disease found in the family in the figure?,Autosomal dominant,X-linked recessive,X-linked dominant,Autosomal recessive,9,Cyto-1217-9-Post
,"If the patients with an inherited disorder are either heterozygous or hemizygous for a missense mutation, and all daughters of affected men are affected, then what is the expected mode of inheritance?",X-linked dominant,X-linked recessive,Autosomal dominant,Autosomal recessive,10,Cyto-1217-10-Post
